county,candidate,votes,fips
Johnson,Alyson Kennedy,3,47091
Johnson,President R19 Boddie Stoneham,0,47091
Johnson,Brian Carroll,0,47091
Johnson,Don Blankenship,13,47091
Johnson,Donald J. Trump,6468,47091
Johnson,Gloria La Riva,0,47091
Johnson,Howie Hawkins,12,47091
Johnson,Jade Simmons,2,47091
Johnson,Jo Jorgensen,45,47091
Johnson,Joseph R. Biden,1246,47091
Johnson,Kanye West,10,47091
Johnson,Kasey Wells,0,47091
Johnson,Rocky De La Fuente,2,47091
Johnson,Tom Hoefling,0,47091
Knox,Alyson Kennedy,102,47093
Knox,President R19 Boddie Stoneham,0,47093
Knox,Brian Carroll,146,47093
Knox,Don Blankenship,361,47093
Knox,Donald J. Trump,124540,47093
Knox,Gloria La Riva,89,47093
Knox,Howie Hawkins,414,47093
Knox,Jade Simmons,9,47093
Knox,Jo Jorgensen,2879,47093
Knox,Joseph R. Biden,91422,47093
Knox,Kanye West,468,47093
Knox,Kasey Wells,0,47093
Knox,Rocky De La Fuente,126,47093
Knox,Tom Hoefling,0,47093
Lake,Alyson Kennedy,0,47095
Lake,President R19 Boddie Stoneham,0,47095
Lake,Brian Carroll,0,47095
Lake,Don Blankenship,1,47095
Lake,Donald J. Trump,1492,47095
Lake,Gloria La Riva,1,47095
Lake,Howie Hawkins,0,47095
Lake,Jade Simmons,0,47095
Lake,Jo Jorgensen,9,47095
Lake,Joseph R. Biden,526,47095
Lake,Kanye West,5,47095
Lake,Kasey Wells,0,47095
Lake,Rocky De La Fuente,0,47095
Lake,Tom Hoefling,0,47095
Lauderdale,Alyson Kennedy,7,47097
Lauderdale,President R19 Boddie Stoneham,0,47097
Lauderdale,Brian Carroll,0,47097
Lauderdale,Don Blankenship,9,47097
Lauderdale,Donald J. Trump,5674,47097
Lauderdale,Gloria La Riva,1,47097
Lauderdale,Howie Hawkins,11,47097
Lauderdale,Jade Simmons,0,47097
Lauderdale,Jo Jorgensen,49,47097
Lauderdale,Joseph R. Biden,3193,47097
Lauderdale,Kanye West,18,47097
Lauderdale,Kasey Wells,0,47097
Lauderdale,Rocky De La Fuente,3,47097
Lauderdale,Tom Hoefling,0,47097
Lawrence,Alyson Kennedy,6,47099
Lawrence,President R19 Boddie Stoneham,0,47099
Lawrence,Brian Carroll,0,47099
Lawrence,Don Blankenship,27,47099
Lawrence,Donald J. Trump,15334,47099
Lawrence,Gloria La Riva,5,47099
Lawrence,Howie Hawkins,18,47099
Lawrence,Jade Simmons,0,47099
Lawrence,Jo Jorgensen,116,47099
Lawrence,Joseph R. Biden,3195,47099
Lawrence,Kanye West,15,47099
Lawrence,Kasey Wells,0,47099
Lawrence,Rocky De La Fuente,2,47099
Lawrence,Tom Hoefling,0,47099
Lewis,Alyson Kennedy,7,47101
Lewis,President R19 Boddie Stoneham,0,47101
Lewis,Brian Carroll,0,47101
